case_id,source_id,kind,method,true_geometry_center,true_appearance_center,true_depth,true_multiplier,predicted_geometry_center,predicted_depth,predicted_multiplier,depth_absolute_error,whole_blade_rms_error,support_rms_error,local_rms_error,support_iou,display_threshold,eligible_area_recall,eligible_false_area_fraction
c025,9,appearance,geometry_only,,2,0.0,0.6,0,3.370822113099951e-05,1.0,3.370822113099951e-05,3.9818838621489984e-07,,,,1e-05,,0.0013416959206922138
c025,9,appearance,appearance_only,,2,0.0,0.6,,0.0,0.6,0.0,0.0,,,,1e-05,,0.0
c025,9,appearance,zero,,2,0.0,0.6,,0.0,1.0,0.0,0.0,,,,1e-05,,0.0
c026,10,appearance,joint,,0,0.0,0.8,0,0.0,0.8000206876829182,0.0,0.0,,,,1e-05,,0.0
c026,10,appearance,geometry_only,,0,0.0,0.8,1,1.3705931622629796e-05,1.0,1.3705931622629796e-05,1.5446525495706562e-07,,,,1e-05,,0.0004968880796167792
c026,10,appearance,appearance_only,,0,0.0,0.8,,0.0,0.8000206876829182,0.0,0.0,,,,1e-05,,0.0
c026,10,appearance,zero,,0,0.0,0.8,,0.0,1.0,0.0,0.0,,,,1e-05,,0.0
c027,10,appearance,joint,,0,0.0,0.6,0,0.0,0.6,0.0,0.0,,,,1e-05,,0.0
c027,10,appearance,geometry_only,,0,0.0,0.6,2,7.031301627860359e-06,1.0,7.031301627860359e-06,8.694226004478552e-08,,,,1e-05,,0.0
c027,10,appearance,appearance_only,,0,0.0,0.6,,0.0,0.6,0.0,0.0,,,,1e-05,,0.0
c027,10,appearance,zero,,0,0.0,0.6,,0.0,1.0,0.0,0.0,,,,1e-05,,0.0
c028,10,appearance,joint,,1,0.0,0.8,0,0.0,0.8000392449275945,0.0,0.0,,,,1e-05,,0.0
c028,10,appearance,geometry_only,,1,0.0,0.8,0,1.5875486381322966e-05,1.0,1.5875486381322966e-05,1.8544316099762365e-07,,,,1e-05,,0.00045048876595818184
c028,10,appearance,appearance_only,,1,0.0,0.8,,0.0,0.8000392449275945,0.0,0.0,,,,1e-05,,0.0
c028,10,appearance,zero,,1,0.0,0.8,,0.0,1.0,0.0,0.0,,,,1e-05,,0.0
c029,10,appearance,joint,,1,0.0,0.6,0,0.0,0.6,0.0,0.0,,,,1e-05,,0.0
c029,10,appearance,geometry_only,,1,0.0,0.6,0,2.1837773121819834e-05,1.0,2.1837773121819834e-05,2.550892350374553e-07,,,,1e-05,,0.00045048876595818184
c029,10,appearance,appearance_only,,1,0.0,0.6,,0.0,0.6,0.0,0.0,,,,1e-05,,0.0
c029,10,appearance,zero,,1,0.0,0.6,,0.0,1.0,0.0,0.0,,,,1e-05,,0.0
c030,10,appearance,joint,,2,0.0,0.8,0,0.0,0.8000475340125177,0.0,0.0,,,,1e-05,,0.0
c030,10,appearance,geometry_only,,2,0.0,0.8,0,2.7512720742292685e-05,1.0,2.7512720742292685e-05,3.213788717741616e-07,,,,1e-05,,0.001051103686974075
c030,10,appearance,appearance_only,,2,0.0,0.8,,0.0,0.8000475340125177,0.0,0.0,,,,1e-05,,0.0
c030,10,appearance,zero,,2,0.0,0.8,,0.0,1.0,0.0,0.0,,,,1e-05,,0.0
c031,10,appearance,joint,,2,0.0,0.6,0,0.0,0.6,0.0,0.0,,,,1e-05,,0.0
c031,10,appearance,geometry_only,,2,0.0,0.6,0,3.6132894343011004e-05,1.0,3.6132894343011004e-05,4.2207199086789345e-07,,,,1e-05,,0.0013513947627451157
c031,10,appearance,appearance_only,,2,0.0,0.6,,0.0,0.6,0.0,0.0,,,,1e-05,,0.0
c031,10,appearance,zero,,2,0.0,0.6,,0.0,1.0,0.0,0.0,,,,1e-05,,0.0
c032,9,mixed,joint,0,0,0.00075,0.7,0,0.0006201756333437612,0.6836552526865762,0.00012982436665623885,1.5335892481012558e-06,3.504937167450176e-05,3.118560010192784e-05,0.9824561403508771,1e-05,0.9821292008829834,0.0
c032,9,mixed,geometry_only,0,0,0.00075,0.7,0,0.0006723903057183199,1.0,7.760969428168008e-05,9.167879040667101e-07,2.0952703005117768e-05,1.864291953620559e-05,1.0,1e-05,1.0,0.0
c032,9,mixed,appearance_only,0,0,0.00075,0.7,,0.0,0.683314229987398,0.00075,8.859598342832508e-06,0.00020248143685890402,0.00018016029476455322,0.0,1e-05,0.0,0.0
c032,9,mixed,zero,0,0,0.00075,0.7,,0.0,1.0,0.00075,8.859598342832508e-06,0.00020248143685890402,0.00018016029476455322,0.0,1e-05,0.0,0.0
c033,9,mixed,joint,0,0,0.0015,0.7,0,0.0013525022104200757,0.6870887278138678,0.00014749778957992435,1.742357441970452e-06,3.9820658238845044e-05,3.494883420730469e-05,1.0,1e-05,1.0,0.0
c033,9,mixed,geometry_only,0,0,0.0015,0.7,0,0.0014041501663234418,1.0,9.584983367655819e-05,1.132250604441432e-06,2.5876988977683223e-05,2.271109113580794e-05,1.0,1e-05,1.0,0.0
c033,9,mixed,appearance_only,0,0,0.0015,0.7,,0.0,0.6863450127601896,0.0015,1.7719192006858134e-05,0.00040496276653623637,0.00035541794629393006,0.0,1e-05,0.0,0.0
c033,9,mixed,zero,0,0,0.0015,0.7,,0.0,1.0,0.0015,1.7719192006858134e-05,0.00040496276653623637,0.00035541794629393006,0.0,1e-05,0.0,0.0
c034,9,mixed,joint,0,1,0.00075,0.7,0,0.0006726250944586337,0.6863014731374235,7.737490554136635e-05,9.140143922575248e-07,2.0889315858812944e-05,1.8586520060094166e-05,1.0,1e-05,1.0,0.0
c034,9,mixed,geometry_only,0,1,0.00075,0.7,0,0.0006868366862030811,1.0,6.316331379691887e-05,7.461357390676351e-07,1.7052537981178322e-05,1.517270077909416e-05,1.0,1e-05,1.0,0.0
c034,9,mixed,appearance_only,0,1,0.00075,0.7,,0.0,0.6861968853774556,0.00075,8.859598342832508e-06,0.00020248143685890402,0.00018016029476455322,0.0,1e-05,0.0,0.0
c034,9,mixed,zero,0,1,0.00075,0.7,,0.0,1.0,0.00075,8.859598342832508e-06,0.00020248143685890402,0.00018016029476455322,0.0,1e-05,0.0,0.0
c035,9,mixed,joint,0,1,0.0015,0.7,0,0.0014013487451540669,0.686414783768993,9.865125484593315e-05,1.165343225040585e-06,2.6633303328406494e-05,2.3374874859483536e-05,1.0,1e-05,1.0,0.0
